City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
342,Vila,PT,42.03,-8.16,48.0,76,100,8.99,overcast clouds
343,Borogontsy,RU,62.67,131.17,-1.66,92,100,3.56,overcast clouds
344,Camacha,PT,33.08,-16.33,60.8,82,40,17.22,light intensity shower rain
345,Kabalo,CD,-6.05,26.92,73.51,84,100,2.48,overcast clouds
346,North Bend,US,43.41,-124.22,66.2,77,90,10.29,overcast clouds
347,Moyale,KE,3.52,39.06,69.58,85,100,5.93,light rain
348,Opuwo,NA,-18.06,13.84,73.33,23,0,10.45,clear sky
349,Babushkin,RU,51.71,105.86,29.62,94,100,8.21,overcast clouds
350,Macheng,CN,31.18,115.03,58.12,53,81,0.63,broken clouds
351,Pevek,RU,69.7,170.31,2.28,86,95,3.24,overcast clouds
352,Polunochnoye,RU,60.87,60.42,36.77,88,0,11.86,clear sky
353,Turayf,SA,31.67,38.66,78.8,36,0,9.17,clear sky
354,Altay,CN,47.87,88.12,19.44,82,0,2.17,clear sky
355,Varna,BG,43.22,27.92,51.8,76,0,5.82,clear sky
356,Padre Bernardo,BR,-15.35,-48.5,83.62,48,88,3.89,overcast clouds
357,Bonthe,SL,7.53,-12.51,79.41,85,95,5.66,heavy intensity rain
358,Hobyo,SO,5.35,48.53,81.07,78,31,10.29,light rain
359,Yeppoon,AU,-23.13,150.73,64.4,88,0,7.23,clear sky
360,Puerto Madero,MX,14.72,-92.42,93.2,59,40,8.16,scattered clouds
361,Atar,MR,20.52,-13.05,89.35,12,0,6.87,clear sky
362,Kostomuksha,RU,64.57,30.58,37.44,87,18,9.4,light rain
